frequency_hz,source_0.1_ohm_db,source_1_ohm_db,source_10_ohm_db,source_50_ohm_db
945.1962342401229,-3.982555438670656e-06,-0.00017767968944013685,-0.015534791118846973,-0.36811251990120053
968.9852914059894,-4.185547338541989e-06,-0.0001867358796686923,-0.01632511750189861,-0.3860649860189218
993.3730805815077,-4.398885800327654e-06,-0.0001962536469560331,-0.01715557213982454,-0.404852855889582
1018.3746708808866,-4.623098195511292e-06,-0.00020625651600482414,-0.018028184256383875,-0.4245111433351053
1044.0055106835148,-4.858738771492077e-06,-0.00021676921038026186,-0.018945084830420882,-0.44507596614370515
1070.2814371794527,-5.106390028655734e-06,-0.0002278177135872201,-0.01990851160895609,-0.46658454662425025
1097.2186861551606,-5.366664154342077e-06,-0.00023942933325779336,-0.02092081435789047,-0.489075208406384
1124.833902025532,-5.6402045493892964e-06,-0.000251632768624994,-0.021984460360691224,-0.5125873691467372
1153.1441481184002,-5.92768739421712e-06,-0.000264458181420775,-0.023102040175620283,-0.5371615287941897
1182.1669172179056,-6.229823351846089e-06,-0.00027793727039443906,-0.024276273662528002,-0.5628392530625957
1211.920142373212,-6.547359290205151e-06,-0.00029210334960316705,-0.025510016290489337,-0.5896631517575537
1242.4222079792596,-6.881080159697938e-06,-0.00030699143072576045,-0.02680626573791298,-0.6176768516056341
1273.6919611364156,-7.231810918023258e-06,-0.0003226383095321166,-0.028168168797128093,-0.6469249632399693
1305.7487232960088,-7.6004185678242726e-06,-0.00033908265677793487,-0.029599028595684126,-0.677453042006101
1338.612302198986,-7.987814303309335e-06,-0.0003563651137228372,-0.031102312146959833,-0.7093075422666568
1372.3030041150223,-8.39495576488043e-06,-0.0003745283925000319,-0.03268165824296841,-0.7425357649033562
1406.8416463896913,-8.822849409484092e-06,-0.0003936173816148909,-0.03434088570248122,-0.7771857977404716
1442.2495703074076,-9.272552988006276e-06,-0.0004136792568026175,-0.03608400198785296,-0.8133064486454209
1478.5486542781277,-9.745178167320243e-06,-0.0004347635975167193,-0.03791521220417871,-0.8509471711001948
1515.7613273559193,-1.024189328059435e-05,-0.0004569225093885491,-0.039838928494511774,-0.8901579820817958
1553.9105830977917,-1.0763926208753184e-05,-0.00048021075286228403,-0.041859779845136225,-0.9309893721412386
1593.0199937713085,-1.131256742395098e-05,-0.0005046858784200381,-0.04398262231488926,-0.973492207628761
1633.1137249198057,-1.1889173167092415e-05,-0.0005304083686817204,-0.04621254970259856,-1.0177176250778655
1674.21655029417,-1.2495168818225375e-05,-0.0005574417877058268,-0.04855490466676048,-1.0637169178321315
1716.3538671604488,-1.3132052408696961e-05,-0.0005858529379341779,-0.051015290311374875,-1.111541415076687
1759.551711992703,-1.3801398321361253e-05,-0.0006157120250733,-0.053599582251850436,-1.1612423535193142
1803.8367765608514,-1.4504861197161866e-05,-0.000647092831406867,-0.05631394117448961,-1.21287074205482
1849.2364244233893,-1.5244180009517061e-05,-0.0006800728978833381,-0.059164825902898247,-1.2664772198386447
1895.7787078352344,-1.6021182369189792e-05,-0.0007147337155024941,-0.06215900698404892,-1.322111908291389
1943.492385081083,-1.683778905192909e-05,-0.000751160926398446,-0.06530358080629141,-1.3798242576531952
1992.4069382450525,-1.7696018740205153e-05,-0.0007894445351885773,-0.068605984260809,-1.4396628888047822
2042.552591427521,-1.859799299639721e-05,-0.0008296791310211956,-0.07207400995720459,-1.5016754311684233
2093.960329420493,-1.95459415445822e-05,-0.000871964120952641,-0.0757158220029039,-1.5659083575957808
2146.6619168529564,-2.054220774906349e-05,-0.0009164039751537568,-0.07953997235473603,-1.632406817238242
2200.689917818132,-2.1589254422719e-05,-0.0009631084846185877,-0.08355541774984356,-1.701214467477701
2256.0777159946765,-2.268966992949055e-05,-0.001012193031917396,-0.08777153722122749,-1.7723733060689306
2312.8595352743355,-2.3846174540514635e-05,-0.0010637788757486587,-0.09219815020148946,-1.8459235047078284
